Client;VolumeCred;VolumeCred_CA;TransactionsCred;TransactionsCred_CA;VolumeDeb;VolumeDeb_CA;VolumeDebCash_Card;VolumeDebCashless_Card;VolumeDeb_PaymentOrder;TransactionsDeb;TransactionsDeb_CA;TransactionsDebCash_Card;TransactionsDebCashless_Card;TransactionsDeb_PaymentOrder
1017;0.005;0.005;1;1;118.0464286;118.0464286;25;91.79642857;0;12;12;2;9;0
1456;364.7721429;364.7528571;4;3;774.98;774.98;14.28571429;497.4442857;258.6071429;28;28;1;20;5
545;2471.719286;2471.719286;14;14;2190.257143;2190.257143;303.5714286;179.0821429;1229.428571;23;23;3;5;12
667;1127.792857;1127.792857;4;4;1344.603571;1344.603571;642.8571429;194.2857143;249.3214286;21;21;3;4;8
1381;571.6182143;571.6182143;3;3;57.07142857;57.07142857;10.71428571;46.35714286;0;6;6;1;5;0
1360;1.475357143;0.035714286;4;1;113.75;112.3214286;0;0;108;7;5;0;0;3
267;648.7796429;648.7796429;2;2;199.8107143;199.8107143;35.71428571;130.8464286;31.5;12;12;1;7;2
284;1650.641786;1650.641786;2;2;1661.7675;1661.7675;175;547.9825;597.5714286;20;20;1;9;7
1420;1075.023214;1075.023214;2;2;620.3746429;620.3746429;0;0;616.9817857;7;7;0;0;6
1024;178.5796429;178.5796429;2;2;109.1071429;109.1071429;107.1428571;0;0;3;3;2;0;0
486;0.065357143;0.065357143;1;1;5.535714286;5.535714286;0;0;0;1;1;0;0;0
119;218.9935714;218.1089286;3;2;89.98214286;89.98214286;0;53.94642857;33.64285714;6;6;0;3;2
1301;799.4435714;799.4435714;7;7;587.3571429;587.3571429;0;0;578.3928571;13;13;0;0;11
1243;1213.003929;1213.003929;2;2;1262.75;1262.75;357.1428571;0;862.7142857;17;17;3;0;9
505;1.313571429;0.004285714;2;1;1.964285714;1.964285714;0;0;0;1;1;0;0;0
1320;1234.922143;1234.922143;4;4;410.4414286;410.4414286;35.71428571;8.245;212.8571429;11;11;1;1;6
1265;364.41;364.41;2;2;583.7460714;583.7460714;464.2857143;112.4960714;0;9;9;3;4;0
919;919.0260714;898.6085714;9;7;927.6385714;898.8892857;278.5714286;157.6721429;438.7282143;26;22;4;7;8
144;178.5735714;178.5735714;2;2;42.42857143;42.42857143;14.28571429;28.14285714;0;3;3;1;2;0
1195;1227.041786;1227.041786;2;2;1094.673929;1094.673929;357.1428571;330.8525;401.5714286;30;30;1;16;11
1440;682.6764286;601.965;12;10;763.1885714;682.6535714;114.2857143;211.4421429;271.4285714;41;34;5;20;3
1557;1837.531429;1837.531429;10;10;1791.25;1791.25;0;0;0;2;2;0;0;0
1352;132.1439286;132.1439286;2;2;76.66428571;76.66428571;3.571428571;73.09285714;0;3;3;1;2;0
779;3300.076786;2348.742857;29;27;3602.077857;2185.478571;589.2857143;195.7375;19.85714286;56;31;7;10;1
889;25;25;1;1;26.175;26.175;7.142857143;19.03214286;0;3;3;1;2;0
1104;4778.456429;4118.971071;40;28;4534.124286;4052.721071;1650;534.75;1150.285714;102;69;7;34;18
1283;1636.375357;1636.375357;6;6;4158.575;4158.575;64.28571429;227.8607143;3734.857143;18;18;1;4;10
426;2163.401429;2163.401429;3;3;473.4642857;473.4642857;178.5714286;0;291.6428571;15;15;5;0;6
1019;634.4328571;634.4328571;2;2;725.9421429;725.9421429;200;238.835;249.6071429;49;49;8;25;5
373;687.5739286;687.5739286;2;2;675.8214286;675.8214286;457.1428571;0;211;21;21;12;0;3
1600;3211.069286;1624.565714;16;4;3235.036071;1610.471429;464.2857143;142.9828571;71.42857143;14;11;2;2;1
464;811.3328571;811.3328571;3;3;577.3857143;577.3857143;160.7142857;65.42142857;347.8571429;12;12;2;3;6
68;874.6642857;832.8860714;6;4;815.5914286;773.8510714;678.5553571;34.33928571;10.71428571;33;31;13;3;1
958;3315.455;3313.080714;9;5;1024.918571;918.0435714;214.2857143;384.1178571;419.5864286;30;22;2;12;10
528;435.6821429;435.6821429;2;2;390.0564286;390.0564286;125;70.84214286;190.8214286;10;10;4;3;2
64;1275.826786;1275.826786;5;5;1449.484643;1449.484643;535.7142857;518.1278571;393.0353571;51;51;3;42;4
1509;1165.000357;1164.559286;4;3;1150.346429;1150.346429;285.7142857;24.59642857;836.5357143;15;15;2;2;10
337;1675.886786;1228.220357;8;4;1252.951786;1216.323214;392.8571429;174.4775;197.7857143;23;22;5;7;6
1172;344.9010714;338.2521429;4;2;399.25;399.25;0;42.10714286;357.1428571;3;3;0;1;2
130;1922.257143;1339.546429;24;22;1958.164286;1350.260714;185.7142857;85.37142857;496.0357143;45;24;6;11;3
389;849.5935714;846.0878571;4;3;670.8214286;670.8214286;642.8571429;0;26.42857143;6;6;2;0;1
154;446.4325;446.4325;5;5;1478.473929;1478.473929;0;1478.473929;0;38;38;0;38;0
