Client;Count_CA;Count_SA;Count_MF;Count_OVD;Count_CC;Count_CL;ActBal_CA;ActBal_SA;ActBal_MF;ActBal_OVD;ActBal_CC;ActBal_CL
1;1;;;1;;;1333.802857;;;0;;
2;1;1;;;;;110.7685714;13326.19036;;;;
3;1;;1;;;;482.6546429;;107.2517857;;;
4;1;1;;;1;;1599.840714;76.43714286;;;1110.381786;
5;1;1;;;;;5353.483929;8079.715714;;;;
6;1;;;;;1;4.297142857;;;;;1982.071071
7;1;;;;;;879.685;;;;;
8;1;;;1;;;0;;;326.9692857;;
9;1;;;1;;;510.1664286;;;0;;
10;1;1;;;;;253.4589286;116.7092857;;;;
11;1;1;;;;;709.9025;5.590357143;;;;
12;1;;;;;;1075.475;;;;;
13;1;1;;;;1;353.8396429;5.8325;;;;3458.295714
14;1;1;2;;1;1;23.34464286;403.6592857;13184.9225;;53.13214286;17062.32429
15;1;;;;;;1.545357143;;;;;
16;1;1;2;;;;10015.92464;31.65857143;68246.335;;;
17;1;;;;;;338.7764286;;;;;
18;1;;;;1;;935.9632143;;;;1016.2925;
19;1;1;;;;;26118.09857;71661.59286;;;;
20;1;1;;;;;2194.472143;18302.0625;;;;
21;1;1;;;;;434.7425;173499.8629;;;;
22;1;;;;;;2492.146786;;;;;
23;1;2;4;1;;;22.96714286;25325.43786;868.7035714;333.4007143;;
24;1;;;;;;227.3110714;;;;;
25;1;;;;;;79.38107143;;;;;
26;1;;1;1;;;1868.234286;;61064.28571;0;;
27;1;;;1;;;1649.98;;;0;;
28;1;;;;;;14.60678571;;;;;
29;1;;;1;;;373.3542857;;;0;;
30;1;1;2;1;1;;162.4825;0.323928571;0;510.7796429;26.38357143;
31;1;;;;1;1;2336.850714;;;;613.6017857;679.5007143
32;2;;;1;;1;12295.25857;;;0;;14708.57143
33;1;;;;;;18635.57536;;;;;
34;1;1;3;1;1;;188.6085714;1343.258929;0;0;728.6689286;
35;1;;;1;;;14.86321429;;;0;;
36;1;1;2;;;;60.99785714;1912.6325;3697.8375;;;
37;1;1;;;;;19.01357143;3850.173214;;;;
38;1;1;;;;;6398.112143;7908.883214;;;;
39;1;;;;;1;1548.2375;;;;;286.7235714
40;1;;;;;;871.7367857;;;;;
41;1;;;1;;;194.9557143;;;1373.342857;;
42;1;;12;;;;875.3714286;;0;;;
43;1;;;1;;;26315.77036;;;0;;
44;1;;;;;;186.8460714;;;;;
45;1;1;;;;;0;38757.89464;;;;
46;1;1;1;;;;503.9935714;3628.388571;1891.052143;;;
47;1;1;5;;;;622.2275;1537.054286;0;;;
48;1;;5;1;;;2418.3175;;59721.75929;0;;
49;2;;;;;;4.145357143;;;;;
50;1;;;;;;169.5635714;;;;;
51;1;1;;1;;;1856.718571;5.896071429;;0;;
52;1;;;;1;;960.5725;;;;0.464285714;
53;1;1;9;1;1;;0;7522.666429;83343.19786;531.1228571;398.3478571;
54;1;;;;;1;4.55;;;;;7857.142857
55;1;;;;;;735.1589286;;;;;
56;1;1;;;;;583.7142857;2907.094286;;;;
57;1;;;;;;1155.26;;;;;
58;1;;6;;;;1263.052857;;1793.9;;;
59;1;;;;;;5676.246429;;;;;
