,Client,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,Age,Tenure,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,credit-debit,Sex__F,Sex__M
0,1,1,0.0,0.0,1.0,0.0,0.0,1333.802857,0.0,0.0,0.0,0.0,0.0,51,7,1.0,0.0,0.0,26.97267857,0.0,0.0,1678.946429,1318.698214,25.0,23.0,1891.353214,1335.619643,250.0,283.0892857,247.6071429,50.0,30.0,3.0,12.0,9.0,-212.4067849999999,1,0
1,2,1,1.0,0.0,0.0,0.0,0.0,110.7685714,13326.19036,0.0,0.0,0.0,0.0,43,152,0.0,0.0,0.0,0.0,0.0,0.0,708.1296429,704.9357143,4.0,3.0,386.4428571,386.4428571,307.1428571,38.40714286,35.71428571,6.0,6.0,2.0,2.0,1.0,321.6867858,0,1
4,6,1,0.0,0.0,0.0,0.0,1.0,4.297142857,0.0,0.0,0.0,0.0,1982.071071,24,19,0.0,0.0,0.0,0.0,0.0,0.0,501.1314286,448.4292857,3.0,2.0,436.2857143,429.6785714,357.1428571,0.0,0.0,8.0,6.0,1.0,0.0,0.0,64.8457143,1,0
6,8,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,326.9692857,0.0,0.0,64,30,0.0,0.0,0.0,0.0,0.0,0.0,649.1992857,458.6085714,25.0,21.0,654.8242857,455.0371429,253.5714286,6.982142857,0.0,42.0,24.0,10.0,1.0,0.0,-5.625,1,0
11,13,1,1.0,0.0,0.0,0.0,1.0,353.8396429,5.8325,0.0,0.0,0.0,3458.295714,66,132,0.0,0.0,0.0,0.0,0.0,0.0,1201.107143,1095.644643,6.0,3.0,1232.796429,1158.367857,339.2857143,173.4321429,312.5357143,41.0,39.0,6.0,17.0,10.0,-31.68928600000004,1,0
12,14,1,1.0,2.0,0.0,1.0,1.0,23.34464286,403.6592857,13184.9225,0.0,53.13214286,17062.32429,38,95,0.0,0.0,0.0,0.0,0.0,0.0,4358.740714,3567.309286,13.0,7.0,2385.786786,1986.292857,625.0,399.4939286,383.5357143,46.0,21.0,5.0,25.0,10.0,1972.9539279999995,1,0
13,15,1,0.0,0.0,0.0,0.0,0.0,1.545357143,0.0,0.0,0.0,0.0,0.0,26,174,0.0,0.0,0.0,0.0,0.0,0.0,47.4375,47.4375,2.0,2.0,20.80357143,20.80357143,0.0,17.41071429,0.0,2.0,2.0,0.0,1.0,0.0,26.63392857,0,1
15,17,1,0.0,0.0,0.0,0.0,0.0,338.7764286,0.0,0.0,0.0,0.0,0.0,64,150,0.0,0.0,0.0,0.0,0.0,0.0,1309.474643,1309.474643,4.0,4.0,5000.515357,5000.515357,803.5714286,168.9260714,4023.767857,33.0,33.0,5.0,7.0,20.0,-3691.040714,1,0
18,20,1,1.0,0.0,0.0,0.0,0.0,2194.472143,18302.0625,0.0,0.0,0.0,0.0,27,181,0.0,1.0,0.0,0.0,3.8225,0.0,452.6175,451.55,4.0,3.0,221.4285714,221.4285714,107.1428571,10.71428571,103.5714286,7.0,7.0,3.0,1.0,3.0,231.1889286,0,1
19,21,1,1.0,0.0,0.0,0.0,0.0,434.7425,173499.8629,0.0,0.0,0.0,0.0,24,60,0.0,1.0,0.0,0.0,3.607142857,0.0,409.8507143,409.3003571,3.0,2.0,505.6535714,505.6535714,178.5714286,259.1892857,64.28571429,22.0,22.0,4.0,14.0,3.0,-95.80285709999998,1,0
